"slot","age","year","unit","season","area","iter","data"
"catch.n","3",1973,"unique","all","unique","1",77394.22
"catch.n","4",1973,"unique","all","unique","1",74297.745
"catch.n","5",1973,"unique","all","unique","1",42478.64
"catch.n","6",1973,"unique","all","unique","1",16061.1292
"catch.n","7",1973,"unique","all","unique","1",10556.565342
"catch.n","8",1973,"unique","all","unique","1",9710.269174
"catch.n","9",1973,"unique","all","unique","1",7321.752599
"catch.n","10",1973,"unique","all","unique","1",26611.028109
"catch.n","1",1974,"unique","all","unique","1",216251.72
"catch.n","2",1974,"unique","all","unique","1",308599
"catch.n","3",1974,"unique","all","unique","1",66810.75
"catch.n","4",1974,"unique","all","unique","1",47873.796
"catch.n","5",1974,"unique","all","unique","1",40611.352
"catch.n","6",1974,"unique","all","unique","1",22360.233
"catch.n","7",1974,"unique","all","unique","1",8600.258028
"catch.n","8",1974,"unique","all","unique","1",6360.35516
"catch.n","9",1974,"unique","all","unique","1",6455.118966
"catch.n","10",1974,"unique","all","unique","1",22141.885761
"catch.n","1",1975,"unique","all","unique","1",187654.327
"catch.n","2",1975,"unique","all","unique","1",237186.5
"catch.n","3",1975,"unique","all","unique","1",232622.9
"catch.n","4",1975,"unique","all","unique","1",36792.38
"catch.n","5",1975,"unique","all","unique","1",23001.213
"catch.n","6",1975,"unique","all","unique","1",18900.433
"catch.n","7",1975,"unique","all","unique","1",11126.04101
"catch.n","8",1975,"unique","all","unique","1",4998.25711
"catch.n","9",1975,"unique","all","unique","1",4078.96745
"catch.n","10",1975,"unique","all","unique","1",17837.626249
"catch.n","1",1976,"unique","all","unique","1",186977.31
"catch.n","2",1976,"unique","all","unique","1",168020.9
"catch.n","3",1976,"unique","all","unique","1",162809.2
"catch.n","4",1976,"unique","all","unique","1",128298.6
"catch.n","5",1976,"unique","all","unique","1",17915.053
"catch.n","6",1976,"unique","all","unique","1",11094.1487
"catch.n","7",1976,"unique","all","unique","1",9921.340404
"catch.n","8",1976,"unique","all","unique","1",6528.948065
"catch.n","9",1976,"unique","all","unique","1",3088.620879
"catch.n","10",1976,"unique","all","unique","1",13249.71468
"catch.n","1",1977,"unique","all","unique","1",311012.79
"catch.n","2",1977,"unique","all","unique","1",142113.1
"catch.n","3",1977,"unique","all","unique","1",113342.5
"catch.n","4",1977,"unique","all","unique","1",96958.2
"catch.n","5",1977,"unique","all","unique","1",70724.47
"catch.n","6",1977,"unique","all","unique","1",9943.649
"catch.n","7",1977,"unique","all","unique","1",6354.816489
"catch.n","8",1977,"unique","all","unique","1",5846.881068
"catch.n","9",1977,"unique","all","unique","1",3861.274522
"catch.n","10",1977,"unique","all","unique","1",9737.368807
"catch.n","1",1978,"unique","all","unique","1",260241.69
"catch.n","2",1978,"unique","all","unique","1",222931.1
"catch.n","3",1978,"unique","all","unique","1",96339.8
"catch.n","4",1978,"unique","all","unique","1",69719.7
"catch.n","5",1978,"unique","all","unique","1",58168.61
"catch.n","6",1978,"unique","all","unique","1",41726.328
"catch.n","7",1978,"unique","all","unique","1",5572.726396
"catch.n","8",1978,"unique","all","unique","1",3587.014727
"catch.n","9",1978,"unique","all","unique","1",3341.045887
"catch.n","10",1978,"unique","all","unique","1",8318.557521
"catch.n","1",1979,"unique","all","unique","1",237416.19
"catch.n","2",1979,"unique","all","unique","1",198319.5
"catch.n","3",1979,"unique","all","unique","1",152671.1
"catch.n","4",1979,"unique","all","unique","1",56458.1
"catch.n","5",1979,"unique","all","unique","1",40407.809
"catch.n","6",1979,"unique","all","unique","1",31902.361
"catch.n","7",1979,"unique","all","unique","1",21132.336836
"catch.n","8",1979,"unique","all","unique","1",2988.529634
"catch.n","9",1979,"unique","all","unique","1",2028.661842
"catch.n","10",1979,"unique","all","unique","1",7618.36077
"catch.n","1",1980,"unique","all","unique","1",228048.888
"catch.n","2",1980,"unique","all","unique","1",218847
"catch.n","3",1980,"unique","all","unique","1",139741.72
"catch.n","4",1980,"unique","all","unique","1",80323.482
"catch.n","5",1980,"unique","all","unique","1",28827.794
"catch.n","6",1980,"unique","all","unique","1",19874.089
"catch.n","7",1980,"unique","all","unique","1",15387.548817
"catch.n","8",1980,"unique","all","unique","1",11113.544516
"catch.n","9",1980,"unique","all","unique","1",1676.811463
"catch.n","10",1980,"unique","all","unique","1",6699.369253
"catch.n","1",1981,"unique","all","unique","1",185495.147
"catch.n","2",1981,"unique","all","unique","1",269603.3
"catch.n","3",1981,"unique","all","unique","1",158997.6
"catch.n","4",1981,"unique","all","unique","1",65082.754
"catch.n","5",1981,"unique","all","unique","1",35922.173
"catch.n","6",1981,"unique","all","unique","1",13526.2198
"catch.n","7",1981,"unique","all","unique","1",9994.939627
"catch.n","8",1981,"unique","all","unique","1",8074.756657
"catch.n","9",1981,"unique","all","unique","1",6106.589935
"catch.n","10",1981,"unique","all","unique","1",5886.323112
"catch.n","1",1982,"unique","all","unique","1",378858.07
"catch.n","2",1982,"unique","all","unique","1",249567.4
"catch.n","3",1982,"unique","all","unique","1",195147.39
"catch.n","4",1982,"unique","all","unique","1",69630.68
"catch.n","5",1982,"unique","all","unique","1",27199.444
"catch.n","6",1982,"unique","all","unique","1",16783.0195
"catch.n","7",1982,"unique","all","unique","1",7064.208413
"catch.n","8",1982,"unique","all","unique","1",5264.184064
"catch.n","9",1982,"unique","all","unique","1",4501.195673
"catch.n","10",1982,"unique","all","unique","1",8191.046648
"catch.n","1",1983,"unique","all","unique","1",312379.15
"catch.n","2",1983,"unique","all","unique","1",462798.8
"catch.n","3",1983,"unique","all","unique","1",177915.4
"catch.n","4",1983,"unique","all","unique","1",91099.41
"catch.n","5",1983,"unique","all","unique","1",29609.481
"catch.n","6",1983,"unique","all","unique","1",12738.9661
"catch.n","7",1983,"unique","all","unique","1",8864.507946
"catch.n","8",1983,"unique","all","unique","1",3930.145153
"catch.n","9",1983,"unique","all","unique","1",3172.496297
"catch.n","10",1983,"unique","all","unique","1",8233.275432
"catch.n","1",1984,"unique","all","unique","1",330326.338
"catch.n","2",1984,"unique","all","unique","1",315003.2
"catch.n","3",1984,"unique","all","unique","1",330543.2
"catch.n","4",1984,"unique","all","unique","1",93427.5
"catch.n","5",1984,"unique","all","unique","1",41553.29
"catch.n","6",1984,"unique","all","unique","1",14250.8546
"catch.n","7",1984,"unique","all","unique","1",6893.69373
"catch.n","8",1984,"unique","all","unique","1",5312.934875
"catch.n","9",1984,"unique","all","unique","1",2486.075305
"catch.n","10",1984,"unique","all","unique","1",6983.052871
"catch.n","1",1985,"unique","all","unique","1",468120.572
"catch.n","2",1985,"unique","all","unique","1",294917.8
"catch.n","3",1985,"unique","all","unique","1",227034.4
"catch.n","4",1985,"unique","all","unique","1",186569.17
"catch.n","5",1985,"unique","all","unique","1",46043.948
"catch.n","6",1985,"unique","all","unique","1",20729.69
"catch.n","7",1985,"unique","all","unique","1",7680.846019
"catch.n","8",1985,"unique","all","unique","1",4138.247254
"catch.n","9",1985,"unique","all","unique","1",3255.398483
"catch.n","10",1985,"unique","all","unique","1",5857.162264
"catch.n","1",1986,"unique","all","unique","1",1083225.66
"catch.n","2",1986,"unique","all","unique","1",417134.4
"catch.n","3",1986,"unique","all","unique","1",213479.4
"catch.n","4",1986,"unique","all","unique","1",128385.2
"catch.n","5",1986,"unique","all","unique","1",96350.4
"catch.n","6",1986,"unique","all","unique","1",23032.706
"catch.n","7",1986,"unique","all","unique","1",10371.026988
"catch.n","8",1986,"unique","all","unique","1",4255.102212
"catch.n","9",1986,"unique","all","unique","1",2437.649917
"catch.n","10",1986,"unique","all","unique","1",6299.68467
"catch.n","1",1987,"unique","all","unique","1",442682.83348
"catch.n","2",1987,"unique","all","unique","1",1047256.4
"catch.n","3",1987,"unique","all","unique","1",302191
"catch.n","4",1987,"unique","all","unique","1",114725.07
"catch.n","5",1987,"unique","all","unique","1",65923.14
"catch.n","6",1987,"unique","all","unique","1",46662.005
"catch.n","7",1987,"unique","all","unique","1",10445.485724
"catch.n","8",1987,"unique","all","unique","1",5248.061949
"catch.n","9",1987,"unique","all","unique","1",2503.273237
"catch.n","10",1987,"unique","all","unique","1",6660.503479
"catch.n","1",1988,"unique","all","unique","1",374165.6052
"catch.n","2",1988,"unique","all","unique","1",478975.9
"catch.n","3",1988,"unique","all","unique","1",746685
"catch.n","4",1988,"unique","all","unique","1",148044.9
"catch.n","5",1988,"unique","all","unique","1",56419.879
"catch.n","6",1988,"unique","all","unique","1",31129.367
"catch.n","7",1988,"unique","all","unique","1",19869.413478
"catch.n","8",1988,"unique","all","unique","1",4881.373697
"catch.n","9",1988,"unique","all","unique","1",2916.794607
"catch.n","10",1988,"unique","all","unique","1",6327.284104
"catch.n","1",1989,"unique","all","unique","1",245185.87
"catch.n","2",1989,"unique","all","unique","1",438711.9
"catch.n","3",1989,"unique","all","unique","1",331436
"catch.n","4",1989,"unique","all","unique","1",337985.9
"catch.n","5",1989,"unique","all","unique","1",71205.46
"catch.n","6",1989,"unique","all","unique","1",26393.547
"catch.n","7",1989,"unique","all","unique","1",12392.433893
"catch.n","8",1989,"unique","all","unique","1",8448.046292
"catch.n","9",1989,"unique","all","unique","1",2412.419572
"catch.n","10",1989,"unique","all","unique","1",5119.130785
"catch.n","1",1990,"unique","all","unique","1",205383.51
"catch.n","2",1990,"unique","all","unique","1",298563.1
"catch.n","3",1990,"unique","all","unique","1",307676
"catch.n","4",1990,"unique","all","unique","1",152615.2
"catch.n","5",1990,"unique","all","unique","1",168825.14
"catch.n","6",1990,"unique","all","unique","1",33025.902
"catch.n","7",1990,"unique","all","unique","1",9827.962764
"catch.n","8",1990,"unique","all","unique","1",5182.112433
"catch.n","9",1990,"unique","all","unique","1",4215.043993
"catch.n","10",1990,"unique","all","unique","1",3977.212703
"catch.n","1",1991,"unique","all","unique","1",187958.37
"catch.n","2",1991,"unique","all","unique","1",258742.3
"catch.n","3",1991,"unique","all","unique","1",223193.2
"catch.n","4",1991,"unique","all","unique","1",153467.2
"catch.n","5",1991,"unique","all","unique","1",80728.2
"catch.n","6",1991,"unique","all","unique","1",78235.206
"catch.n","7",1991,"unique","all","unique","1",12398.302257
"catch.n","8",1991,"unique","all","unique","1",4630.489439
"catch.n","9",1991,"unique","all","unique","1",3060.805944
"catch.n","10",1991,"unique","all","unique","1",5138.255929
"catch.n","1",1992,"unique","all","unique","1",168039.58
"catch.n","2",1992,"unique","all","unique","1",242447.1
"catch.n","3",1992,"unique","all","unique","1",201697.8
"catch.n","4",1992,"unique","all","unique","1",115796.6
"catch.n","5",1992,"unique","all","unique","1",82733.51
"catch.n","6",1992,"unique","all","unique","1",38323.918
"catch.n","7",1992,"unique","all","unique","1",31918.824209
"catch.n","8",1992,"unique","all","unique","1",6547.11279
"catch.n","9",1992,"unique","all","unique","1",3024.35883
"catch.n","10",1992,"unique","all","unique","1",5860.650021
"catch.n","1",1993,"unique","all","unique","1",104636.6
"catch.n","2",1993,"unique","all","unique","1",211487.6
"catch.n","3",1993,"unique","all","unique","1",183104.5
"catch.n","4",1993,"unique","all","unique","1",100871.9
"catch.n","5",1993,"unique","all","unique","1",60965.29
"catch.n","6",1993,"unique","all","unique","1",40691.958
"catch.n","7",1993,"unique","all","unique","1",16523.260266
"catch.n","8",1993,"unique","all","unique","1",15502.773945
"catch.n","9",1993,"unique","all","unique","1",3569.781722
"catch.n","10",1993,"unique","all","unique","1",5512.55844
"catch.n","1",1994,"unique","all","unique","1",93290.14
"catch.n","2",1994,"unique","all","unique","1",128362.7
"catch.n","3",1994,"unique","all","unique","1",156029.9
"catch.n","4",1994,"unique","all","unique","1",88971.8
"catch.n","5",1994,"unique","all","unique","1",51632.74
"catch.n","6",1994,"unique","all","unique","1",30198.528
"catch.n","7",1994,"unique","all","unique","1",17190.197397
"catch.n","8",1994,"unique","all","unique","1",6601.735477
"catch.n","9",1994,"unique","all","unique","1",6301.798146
"catch.n","10",1994,"unique","all","unique","1",4370.610322
"catch.n","1",1995,"unique","all","unique","1",126854.53
"catch.n","2",1995,"unique","all","unique","1",128617.1
"catch.n","3",1995,"unique","all","unique","1",106282.9
"catch.n","4",1995,"unique","all","unique","1",79720.435
"catch.n","5",1995,"unique","all","unique","1",44764.952
"catch.n","6",1995,"unique","all","unique","1",25052.05
"catch.n","7",1995,"unique","all","unique","1",12590.226869
"catch.n","8",1995,"unique","all","unique","1",6586.873006
"catch.n","9",1995,"unique","all","unique","1",2542.409366
"catch.n","10",1995,"unique","all","unique","1",4990.730407
"catch.n","1",1996,"unique","all","unique","1",105190.15
"catch.n","2",1996,"unique","all","unique","1",232415.2
"catch.n","3",1996,"unique","all","unique","1",129090.5
"catch.n","4",1996,"unique","all","unique","1",56087.87
"catch.n","5",1996,"unique","all","unique","1",38876.434
"catch.n","6",1996,"unique","all","unique","1",21493.7
"catch.n","7",1996,"unique","all","unique","1",10906.739762
"catch.n","8",1996,"unique","all","unique","1",5404.859408
"catch.n","9",1996,"unique","all","unique","1",2953.17736
"catch.n","10",1996,"unique","all","unique","1",4174.688304
"catch.n","1",1997,"unique","all","unique","1",272197.35
"catch.n","2",1997,"unique","all","unique","1",255916.6
"catch.n","3",1997,"unique","all","unique","1",242378.7
"catch.n","4",1997,"unique","all","unique","1",58913.9
"catch.n","5",1997,"unique","all","unique","1",25344.583
"catch.n","6",1997,"unique","all","unique","1",18509.83
"catch.n","7",1997,"unique","all","unique","1",9435.005606
"catch.n","8",1997,"unique","all","unique","1",4914.62774
"catch.n","9",1997,"unique","all","unique","1",2644.702899
"catch.n","10",1997,"unique","all","unique","1",4409.921001
"catch.n","1",1998,"unique","all","unique","1",91657.576
"catch.n","2",1998,"unique","all","unique","1",701954.2
"catch.n","3",1998,"unique","all","unique","1",221681.4
"catch.n","4",1998,"unique","all","unique","1",85780
"catch.n","5",1998,"unique","all","unique","1",24336.344
"catch.n","6",1998,"unique","all","unique","1",11435.3087
"catch.n","7",1998,"unique","all","unique","1",7208.621891
"catch.n","8",1998,"unique","all","unique","1",3754.6439
"catch.n","9",1998,"unique","all","unique","1",2236.103584
"catch.n","10",1998,"unique","all","unique","1",4065.624835
"catch.n","1",1999,"unique","all","unique","1",91337.921
"catch.n","2",1999,"unique","all","unique","1",186960.9
"catch.n","3",1999,"unique","all","unique","1",505281
"catch.n","4",1999,"unique","all","unique","1",76360.7
"catch.n","5",1999,"unique","all","unique","1",34618.147
"catch.n","6",1999,"unique","all","unique","1",9804.8463
"catch.n","7",1999,"unique","all","unique","1",3720.120547
"catch.n","8",1999,"unique","all","unique","1",2527.381163
"catch.n","9",1999,"unique","all","unique","1",1623.537941
"catch.n","10",1999,"unique","all","unique","1",3199.13442
"catch.n","1",2000,"unique","all","unique","1",128525.79
"catch.n","2",2000,"unique","all","unique","1",138479.5
"catch.n","3",2000,"unique","all","unique","1",147232.1
"catch.n","4",2000,"unique","all","unique","1",242206.1
"catch.n","5",2000,"unique","all","unique","1",32822.43
"catch.n","6",2000,"unique","all","unique","1",12638.839
"catch.n","7",2000,"unique","all","unique","1",3078.292
"catch.n","8",2000,"unique","all","unique","1",1433.523
"catch.n","9",2000,"unique","all","unique","1",1209.853874
"catch.n","10",2000,"unique","all","unique","1",2395.194361
"catch.n","1",2001,"unique","all","unique","1",97495
"catch.n","2",2001,"unique","all","unique","1",187737.7
"catch.n","3",2001,"unique","all","unique","1",142364.4
"catch.n","4",2001,"unique","all","unique","1",92615.8
"catch.n","5",2001,"unique","all","unique","1",109946.1
"catch.n","6",2001,"unique","all","unique","1",12252.559
"catch.n","7",2001,"unique","all","unique","1",4697.26
"catch.n","8",2001,"unique","all","unique","1",1455.37755
"catch.n","9",2001,"unique","all","unique","1",716.287266
"catch.n","10",2001,"unique","all","unique","1",1899.89171
